"","bat","cam","dis","lte","pri","bat1","bat2"
"191","3250","4K","4","Nein","450","11h","8:15h - 13:45h"
"271","3250","HD","5","Nein","600","11h","8:15h - 13:45h"
"9","1570","4K","4","Ja","150","5h","3:45h - 6:15h"
"226","2070","4K","4","Ja","600","8h","6h - 10h"
"158","2070","SD","5","Ja","450","8h","6h - 10h"
"265","1570","SD","5","Nein","600","5h","3:45h - 6:15h"
"174","2070","HD","6","Ja","450","8h","6h - 10h"
"137","1570","HD","6","Nein","300","5h","3:45h - 6:15h"
"96","4140","4K","5","Ja","300","14h","10:30h - 17:30h"
"27","3250","SD","6","Ja","150","11h","8:15h - 13:45h"
"136","4140","SD","6","Nein","300","14h","10:30h - 17:30h"
"44","4140","HD","4","Nein","150","14h","10:30h - 17:30h"
"54","2070","HD","5","Nein","150","8h","6h - 10h"
"70","2070","4K","6","Nein","150","8h","6h - 10h"
"181","1570","SD","4","Nein","450","5h","3:45h - 6:15h"
"110","2070","SD","4","Nein","300","8h","6h - 10h"
"224","4140","HD","4","Ja","600","14h","10:30h - 17:30h"
"79","3250","HD","4","Ja","300","11h","8:15h - 13:45h"
"243","3250","SD","6","Ja","600","11h","8:15h - 13:45h"
"288","4140","4K","6","Nein","600","14h","10:30h - 17:30h"
"203","3250","4K","5","Nein","450","11h","8:15h - 13:45h"
"16","4140","SD","5","Ja","150","14h","10:30h - 17:30h"
"93","1570","4K","5","Ja","300","5h","3:45h - 6:15h"
"173","1570","HD","6","Ja","450","5h","3:45h - 6:15h"
