"","bat","cam","dis","lte","pri","bat1","bat2"
"271","3250","HD","5","Nein","600","11h","8:15h - 13:45h"
"9","1570","4K","4","Ja","150","5h","3:45h - 6:15h"
"27","3250","SD","6","Ja","150","11h","8:15h - 13:45h"
"96","4140","4K","5","Ja","300","14h","10:30h - 17:30h"
"226","2070","4K","4","Ja","600","8h","6h - 10h"
"191","3250","4K","4","Nein","450","11h","8:15h - 13:45h"
"137","1570","HD","6","Nein","300","5h","3:45h - 6:15h"
"265","1570","SD","5","Nein","600","5h","3:45h - 6:15h"
"44","4140","HD","4","Nein","150","14h","10:30h - 17:30h"
"158","2070","SD","5","Ja","450","8h","6h - 10h"
"174","2070","HD","6","Ja","450","8h","6h - 10h"
"136","4140","SD","6","Nein","300","14h","10:30h - 17:30h"
"2711","3250","HD","5","Nein","600","11h","8:15h - 13:45h"
"91","1570","4K","4","Ja","150","5h","3:45h - 6:15h"
"272","3250","SD","6","Ja","150","11h","8:15h - 13:45h"
"961","4140","4K","5","Ja","300","14h","10:30h - 17:30h"
"2261","2070","4K","4","Ja","600","8h","6h - 10h"
"1911","3250","4K","4","Nein","450","11h","8:15h - 13:45h"
"1371","1570","HD","6","Nein","300","5h","3:45h - 6:15h"
"2651","1570","SD","5","Nein","600","5h","3:45h - 6:15h"
"441","4140","HD","4","Nein","150","14h","10:30h - 17:30h"
"1581","2070","SD","5","Ja","450","8h","6h - 10h"
"1741","2070","HD","6","Ja","450","8h","6h - 10h"
"1361","4140","SD","6","Nein","300","14h","10:30h - 17:30h"
